"Data Source","World Development Indicators",

"Last Updated Date","2018-05-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Bosnia and Herzegovina","BIH","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.215964833505","17.9071007297324","11.0172196258194","8.38582572565641","6.07354427319199","5.27605366757593","3.99876150251155","3.01859191826486","3.09120794221065","5.8712072518763","11.421782175376","11.7997140822193","13.4656882284517","15.1198478740683","14.1653123764986","13.7084158662801","11.7777190845963","",
"Belarus","BLR","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.54880427143014","4.15959581162895","5.50187400609008","4.44733135755543","4.37130403366124","6.83494796382143","12.791174278387","",
"Belize","BLZ","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.14098016078259","1.64499555407419","1.45359977173878","1.48473224456689","1.50237950472033","1.49992861153731","1.5769576006293","",
"Brazil","BRA","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.52553179140661","3.46066404520994","2.98260391267765","3.10639256827815","4.21499469701351","3.10772417173934","3.46686409051456","3.44682339262827","2.85728229301093","2.85479995510717","3.31178796015599","3.91663909818561","",
"Barbados","BRB","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.36467132030001","6.86702975926534","6.03201397638731","5.37615761868223","4.52530200889505","3.85059424062381","0.399835180405115","4.62526313226275","",
"Bhutan","BTN","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.83049027589985","5.20416391006098","3.91859673156024","5.43682266670985","6.95249827882881","6.75215842960992","6.59416841377043","7.18674576794876","",
"Botswana","BWA","Bank nonperforming loans to total gross loans (%)","FB.AST.NPER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.62060809323672","3.61343005876295","3.54945490277661","3.73435524246613","4.85264133334105","",
